Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2017-11-20,46.57,47.38,46.54,47.04,,97252,4563515,,,
2017-11-21,47.25,48.59,46.78,48.39,,78502,3782098,,,
2017-11-22,48.4,49.61,48.39,48.8,,91142,4478093,,,
2017-11-23,48.8,49.46,48.45,49.2,,38834,1909352,,,
2017-11-24,49.11,49.41,48.87,49.11,,50350,2472842,,,
2017-11-27,49.13,49.73,48.96,49.2,,102180,5055762,,,
2017-11-28,49.09,49.89,49.03,49.25,,42669,2107358,,,
2017-11-29,49.64,49.64,48.7,48.75,,67342,3292223,,,
2017-11-30,48.64,49.84,48.28,49.7,,123019,6085171,,,
2017-12-01,49.52,50.49,49.17,49.86,,101733,5065932,,,
2017-12-04,49.5,51.23,49.5,51.14,,94385,4800027,,,
2017-12-05,51.21,51.38,50.4,51.25,,83023,4231971,,,
2017-12-06,50.8,51.11,50.39,50.89,,88730,4504075,,,
2017-12-07,50.89,51.47,50.81,51.47,,48123,2463848,,,
2017-12-08,51.5,52.83,51.28,52.12,,109157,5690648,,,
2017-12-11,52.28,52.45,51.26,52.14,,71817,3724193,,,
2017-12-12,52.29,53.1,51.82,52.43,,87911,4615924,,,
2017-12-13,52.64,53.35,52.48,53.09,,128434,6801159,,,
2017-12-14,53.11,53.54,52.15,52.67,,132981,7016953,,,
2017-12-15,52.7,52.7,51.64,52.01,,204080,10596319,,,
2017-12-18,52.37,52.75,51.61,52.62,,129733,6770499,,,
2017-12-19,52.73,52.73,51.07,51.66,,137313,7102361,,,
2017-12-20,51.88,52.04,51.2,51.27,,50587,2610258,,,
2017-12-21,51.16,51.52,50.9,51.4,,120649,6179433,,,
2017-12-22,51.05,51.5,50.92,51.32,,71165,3641949,,,
2017-12-27,51.45,51.89,50.76,51.82,,57452,2957018,,,
2017-12-28,51.65,51.82,51.43,51.6,,40660,2099024,,,
2017-12-29,51.76,51.94,51.45,51.76,,34640,1792304,,,
